time,lon,lat,dis24,geometry,distance
2015-01-01,82.95000000000005,30.25,16.231497,POINT (82.95000000000005 30.25),10.626081598543209
2015-01-01,82.95000000000005,30.25,16.231497,POINT (82.95000000000005 30.25),10.626081598543209
2015-01-01,83.75,29.85,31.25162,POINT (83.75 29.85),9.779864625717417
2015-01-01,84.05000000000001,29.549999999999997,40.950394,POINT (84.05000000000001 29.549999999999997),9.355713583331864
2015-01-01,84.35000000000002,29.549999999999997,44.086777,POINT (84.35000000000002 29.549999999999997),9.151221698014051
2015-01-01,84.75,29.25,56.088715,POINT (84.75 29.25),8.660656851136611
2015-01-01,85.45000000000005,29.25,78.4811,POINT (85.45000000000005 29.25),8.211969002000638
2015-01-01,87.65000000000003,29.15,99.5365,POINT (87.65000000000003 29.15),6.981357303456183
2015-01-01,87.75,29.25,99.6892,POINT (87.75 29.25),7.03290809137794
2015-01-01,87.95000000000005,29.35,139.20697,POINT (87.95000000000005 29.35),7.050016781254602
2015-01-01,88.65000000000003,29.35,161.03491,POINT (88.65000000000003 29.35),6.827312385752675
2015-01-01,91.05000000000001,29.35,443.1105,POINT (91.05000000000001 29.35),6.592120274657906
2015-01-01,92.05000000000001,29.25,485.33096,POINT (92.05000000000001 29.25),6.651092915664712
2015-01-01,93.25,29.049999999999997,559.64886,POINT (93.25 29.049999999999997),6.84332227208902
2015-01-01,93.65000000000003,29.15,590.68634,POINT (93.65000000000003 29.15),7.102745107054098
2015-01-01,94.35000000000002,29.35,659.0273,POINT (94.35000000000002 29.35),7.610936260214556
2015-01-01,94.85000000000002,29.549999999999997,841.5976,POINT (94.85000000000002 29.549999999999997),8.04280582361702
2015-01-01,95.15000000000003,29.85,1112.7451,POINT (95.15000000000003 29.85),8.457781315815177
2015-01-01,95.25,29.85,1114.8364,POINT (95.25 29.85),8.513081625187574
2015-01-01,95.25,29.75,1122.9109,POINT (95.25 29.75),8.43021982541455
2015-01-01,95.35000000000002,29.549999999999997,1157.7344,POINT (95.35000000000002 29.549999999999997),8.323412483541802
2015-01-01,95.35000000000002,29.35,1214.0571,POINT (95.35000000000002 29.35),8.16157401893728
2015-01-01,94.85000000000002,28.950000000000003,1323.9575,POINT (94.85000000000002 28.950000000000003),7.5447339782556515
2015-01-01,94.85000000000002,28.85,1366.0994,POINT (94.85000000000002 28.85),7.4631801767310675
2015-01-01,95.05000000000001,28.549999999999997,1385.7703,POINT (95.05000000000001 28.549999999999997),7.343309127047477
2015-01-01,95.05000000000001,28.15,1491.9918,POINT (95.05000000000001 28.15),7.0333760830915155
2015-01-01,95.35000000000002,28.049999999999997,1518.862,POINT (95.35000000000002 28.049999999999997),7.1568085475841166
2015-01-01,95.35000000000002,27.950000000000003,1534.0309,POINT (95.35000000000002 27.950000000000003),7.0834988624605115
2015-01-01,95.25,27.75,1969.147,POINT (95.25 27.75),6.869465573022202
2015-01-01,94.85000000000002,27.450000000000003,2013.8496,POINT (94.85000000000002 27.450000000000003),6.376811430349724
2015-01-01,94.45000000000005,27.049999999999997,2091.5178,POINT (94.45000000000005 27.049999999999997),5.8115349371097
2015-01-01,93.75,26.75,2562.4006,POINT (93.75 26.75),5.1256827029855
2015-01-01,92.65000000000003,26.549999999999997,3291.1384,POINT (92.65000000000003 26.549999999999997),4.336044809108845
2015-01-01,92.25,26.450000000000003,3452.0212,POINT (92.25 26.450000000000003),4.062432307188465
2015-01-01,91.65000000000003,26.15,3696.347,POINT (91.65000000000003 26.15),3.558164564474414
2015-01-01,91.25,26.15,3821.8323,POINT (91.25 26.15),3.450588237397215
2015-01-01,90.65000000000003,26.15,4328.391,POINT (90.65000000000003 26.15),3.372772651445406
2015-01-01,90.35000000000002,26.15,4435.287,POINT (90.35000000000002 26.15),3.3734423732257652
2015-01-01,90.15000000000003,26.049999999999997,4530.277,POINT (90.15000000000003 26.049999999999997),3.2892511383706537
2015-01-01,89.85000000000002,25.849999999999994,4723.219,POINT (89.85000000000002 25.849999999999994),3.139392653654862
2015-01-01,89.75,25.650000000000006,5157.8774,POINT (89.75 25.650000000000006),2.968061212017091
2015-01-01,89.65000000000003,24.950000000000003,5569.648,POINT (89.65000000000003 24.950000000000003),2.333072270905815
2015-01-01,89.75,24.549999999999997,5621.883,POINT (89.75 24.549999999999997),1.9250741240401434
2015-01-01,89.65000000000003,23.849999999999994,5678.5273,POINT (89.65000000000003 23.849999999999994),1.3710394764696594
2015-01-01,89.95000000000005,23.650000000000006,8858.707,POINT (89.95000000000005 23.650000000000006),1.033114831136248
2015-01-01,90.25,23.450000000000003,8894.699,POINT (90.25 23.450000000000003),0.7175676014071237
2015-01-01,90.55000000000001,23.25,8928.074,POINT (90.55000000000001 23.25),0.4716781432975457
2015-01-01,90.55000000000001,23.25,8928.074,POINT (90.55000000000001 23.25),0.4716781432975457
